"Drugs-Copaxone-Glatiramer acetate",0
"Drugs-Copaxone-copaxone",29
"Drugs-prednisone",0
"Drugs-methylprednisolone",1
"Drugs-Tecfidera-Dimethyl fumarate",0
"Drugs-Tecfidera-Tecfidera",0
"Drugs-Gilenya-Fingolimod",0
"Drugs-Gilenya-Gilenya",0
"Drugs-Aubagio-Teriflunomide",0
"Drugs-Aubagio-Aubagio",0
"Drugs-Tysabri-Natalizumab",0
"Drugs-Tysabri-Tysabri",1
"Drugs-Lemtrada-Alemtuzumab",0
"Drugs-Lemtrada-Lemtrada",0
"Drugs-steroids-steroid",31
"Drugs-steroids-steriod",1
"Drugs-steroids-steroids",75
"Drugs-Sativex",5
"Drugs-Depakote",1
"Drugs-Prozac",6
"Drugs-carbamazepine-carbamazapine",3
"Drugs-carbamazepine-carbomazapine",1
"Drugs-carbamazepine-carbomazepline",1
"Drugs-carbamazepine-carbamezipine",1
"Drugs-carbamazepine-carbamazepine",4
"Drugs-SSRI",2
"Drugs-Amitryptiline",2
"Drugs-Amantadine",11
"Drugs-Citalopram",12
"Drugs-Gabapentin",40
"Drugs-Glucosamine",3
"Side Effects-Vision Problems-Optic Neuritis",12
"Side Effects-Vision Problems-Neuritis",13
"Side Effects-Vision Problems-blurred vision",3
"Side Effects-Vision Problems-eye pain",0
"Side Effects-Vision Problems-blindness",0
"Side Effects-Vision Problems-Nystagmus",0
"Side Effects-Vision Problems-eye movement",1
"Side Effects-Vision Problems-Uncontrolled movement",0
"Side Effects-Vision Problems-Diplopia",0
"Side Effects-Vision Problems-Double vision",15
"Side Effects-Vision Problems-double image",0
"Side Effects-Vision Problems-tired eyes",0
"Side Effects-Vision Problems-eye fatigue",0
"Side Effects-Vision Problems-optic atrophy",1
"Side Effects-Bowel  Bladder-spastic bladder",0
"Side Effects-Bowel  Bladder-frequent urination",0
"Side Effects-Bowel  Bladder-difficulty in urination",0
"Side Effects-Bowel  Bladder-nighttime urination",0
"Side Effects-Bowel  Bladder-nocturia",0
"Side Effects-Bowel  Bladder-Leaking",0
"Side Effects-Bowel  Bladder-incontinence-loo",16
"Side Effects-Bowel  Bladder-Constipation",2
"Side Effects-Bowel  Bladder-OAB",0
"Side Effects-Bowel  Bladder-overactive bladder",0
"Side Effects-Bowel  Bladder-bowel",7
"Side Effects-Bowel  Bladder-bladder",31
"Side Effects-Fatigue Problems-tiredness",4
"Side Effects-Fatigue Problems-weakness",4
"Side Effects-Fatigue Problems-lack of energy",1
"Side Effects-Fatigue Problems-fatigue",46
"Side Effects-Fatigue Problems-falling asleep",1
"Side Effects-Fatigue Problems-staying asleep",1
"Side Effects-Fatigue Problems-sleep",64
"Side Effects-Fatigue Problems-antihistamines",0
"Side Effects-Fatigue Problems-stress",23
"Side Effects-Fatigue Problems-insomnia",7
"Side Effects-Walking  Balance-gait",1
"Side Effects-Walking  Balance-toe drag",0
"Side Effects-Walking  Balance-foot drop",0
"Side Effects-Walking  Balance-walking",53
"Side Effects-Walking  Balance-ataxia",1
"Side Effects-Walking  Balance-leg muscles",0
"Side Effects-Walking  Balance-legs",74
"Side Effects-Walking  Balance-Loss of balance",4
"Side Effects-Cognitive Issues-Memory loss",3
"Side Effects-Cognitive Issues-concentration",7
"Side Effects-Cognitive Issues-cog fog",0
"Side Effects-Cognitive Issues-Cognitive",15
"Side Effects-Cognitive Issues-neurological",7
"Side Effects-Cognitive Issues-Neuro Issues",0
"Side Effects-Cognitive Issues-nerve-nerves",21
"Side Effects-Cognitive Issues-nerve-nerve",38
"Side Effects-Cognitive Issues-lesion-lesions",32
"Side Effects-Cognitive Issues-lesion-lesion",10
"Side Effects-Cognitive Issues-sensory loss",2
"Side Effects-Sexual Issues-Sex",3
"Side Effects-Sexual Issues-Reduced sensation",0
"Side Effects-Sexual Issues-painful sensation",0
"Side Effects-Sexual Issues-Vaginal dryness",0
"Side Effects-Sexual Issues-orgasm",0
"Side Effects-Sexual Issues-Loss of desire",0
"Side Effects-Sexual Issues-arousal",0
"Side Effects-Sexual Issues-erection",0
"Side Effects-Sexual Issues-ejaculation",0
"Side Effects-Pain-acute pain",3
"Side Effects-Pain-Trigeminal neuralgia",4
"Side Effects-Pain-stabbing",2
"Side Effects-Pain-Lhermitte",0
"Side Effects-Pain-electric shock",4
"Side Effects-Pain-Dysesthesia",0
"Side Effects-Pain-burning",19
"Side Effects-Pain-Chronic pain",5
"Side Effects-Pain-aching",0
"Side Effects-Pain-prickling",0
"Side Effects-Pain-pins",22
"Side Effects-Pain-needles",39
"Side Effects-Pain-joint ache",0
"Side Effects-Pain-muscle spasm",1
"Side Effects-Pain-muscle cramp",0
"Side Effects-Pain-flexor spasm",0
"Side Effects-Pain-swelling",2
"Side Effects-Muscle Stiffness-spasticity",2
"Side Effects-Muscle Stiffness-contractures",0
"Side Effects-Muscle Stiffness-frozen joint",0
"Side Effects-Depression Problems-depression",24
"Side Effects-Depression Problems-anxiety",4
"Side Effects-Depression Problems-anger",4
"Side Effects-Depression Problems-fear",11
"Side Effects-Depression Problems-frustration",6
"Side Effects-Depression Problems-grief",4
"Side Effects-Depression Problems-guilt",1
"Side Effects-Depression Problems-emotional",44
"Side Effects-Depression Problems-Sadness",0
"Side Effects-Depression Problems-loss of apetite",0
"Side Effects-Depression Problems-increase in apetite",0
"Side Effects-Depression Problems-worthlessness",0
"Side Effects-Depression Problems-suicide",0
"Side Effects-Depression Problems-Agitation",0
"Side Effects-Depression Problems-Claustrophobia",0
"Side Effects-Depression Problems-crying",29
"Side Effects-seizure-myoclonus",6
"Side Effects-seizure-Paroxysmal",2
"Side Effects-seizure-palpitations-palpatations",2
"Side Effects-seizure-palpitations-palpitations",3
"Side Effects-seizure-spasms",29
"Conditions-relapse-relapses",28
"Conditions-relapse-relase",1
"Conditions-relapse-relaspe",2
"Conditions-relapse-relaspses",2
"Conditions-relapse-relapse",79
"Conditions-relapse-RRMS",40
"Conditions-diabetes-diabetis",1
"Conditions-diabetes-diabetic",5
"Conditions-diabetes-diabetes",26
"Conditions-diabetes-insulin-insulin",22
"Conditions-pregnant-pregnancy",2
"Conditions-pregnant-pregnant",3
"Conditions-Parkinsons",1
"Conditions-osteoarthritis-oestoarthritis",1
"Conditions-osteoarthritis-osteoarthritis",3
"Treatment-treatments",16
"Treatment-treaments",1
"Treatment-treated",18
"Treatment-Treatment",93
"Treatment-injected-inject",7
"Treatment-injected-injector",2
"Treatment-injected-injected",6
"Treatment-injected-injections-injection",39
"Treatment-injected-injections-infections",7
"Treatment-injected-injections-injecitions",1
"Treatment-injected-injections-injecting",17
"Treatment-injected-injections-injections",33
"Treatment-LDN-LDN",218
"Treatment-LDN-naltrexone-naltrixone",1
"Treatment-LDN-naltrexone-naltrexone",7
"Treatment-DMD",23
"Treatment-betainterferon-betainterferons",1
"Treatment-betainterferon-betainterferon",6
"Tests-VER",0
"Tests-VEP",6
"Tests-MRI",130
"Insurance-insurances",1
"Insurance-insure",1
"Insurance-Insurance",47
